ID : 0, Time : 0.000020, Tardiness : 14501295
ID : 1, Time : 0.000019, Tardiness : 13892859
ID : 2, Time : 0.000019, Tardiness : 16551951
ID : 3, Time : 0.000021, Tardiness : 15851994
ID : 4, Time : 0.000017, Tardiness : 17347366
ID : 5, Time : 0.000021, Tardiness : 14860910
ID : 6, Time : 0.000023, Tardiness : 15916797
ID : 7, Time : 0.000020, Tardiness : 17840376
ID : 8, Time : 0.000023, Tardiness : 14435609
ID : 9, Time : 0.000022, Tardiness : 12853564
ID : 0, Time : 0.000016, Tardiness : 15622733
ID : 1, Time : 0.000013, Tardiness : 14576422
ID : 2, Time : 0.000015, Tardiness : 14240902
ID : 3, Time : 0.000017, Tardiness : 14284528
ID : 4, Time : 0.000019, Tardiness : 13501187
ID : 5, Time : 0.000019, Tardiness : 11428616
ID : 6, Time : 0.000015, Tardiness : 14258827
ID : 7, Time : 0.000021, Tardiness : 15937517
ID : 8, Time : 0.000017, Tardiness : 16686187
ID : 9, Time : 0.000018, Tardiness : 12604409
