ID : 0, Time : 0.000020, Tardiness : 14261798
ID : 1, Time : 0.000021, Tardiness : 12784968
ID : 2, Time : 0.000020, Tardiness : 14715554
ID : 3, Time : 0.000024, Tardiness : 16877690
ID : 4, Time : 0.000077, Tardiness : 14109491
ID : 5, Time : 0.000020, Tardiness : 14377059
ID : 6, Time : 0.000027, Tardiness : 11780702
ID : 7, Time : 0.000021, Tardiness : 15725726
ID : 8, Time : 0.000028, Tardiness : 15575368
ID : 9, Time : 0.000023, Tardiness : 13625684
ID : 0, Time : 0.000017, Tardiness : 17069161
ID : 1, Time : 0.000042, Tardiness : 14769869
ID : 2, Time : 0.000018, Tardiness : 16428184
ID : 3, Time : 0.000022, Tardiness : 15948355
ID : 4, Time : 0.000025, Tardiness : 15612239
ID : 5, Time : 0.000023, Tardiness : 11306784
ID : 6, Time : 0.000020, Tardiness : 13562497
ID : 7, Time : 0.000016, Tardiness : 16072576
ID : 8, Time : 0.000022, Tardiness : 16767782
ID : 9, Time : 0.000015, Tardiness : 14405495
