ID : 0, Time : 0.000024, Tardiness : 13076810
ID : 1, Time : 0.000023, Tardiness : 17293726
ID : 2, Time : 0.000024, Tardiness : 15913793
ID : 3, Time : 0.000023, Tardiness : 15254632
ID : 4, Time : 0.000018, Tardiness : 15030442
ID : 5, Time : 0.000023, Tardiness : 13930994
ID : 6, Time : 0.000019, Tardiness : 12173067
ID : 7, Time : 0.000024, Tardiness : 13829973
ID : 8, Time : 0.000022, Tardiness : 15284824
ID : 9, Time : 0.000019, Tardiness : 17574779
ID : 0, Time : 0.000016, Tardiness : 13062117
ID : 1, Time : 0.000018, Tardiness : 12507003
ID : 2, Time : 0.000017, Tardiness : 15846874
ID : 3, Time : 0.000015, Tardiness : 14706626
ID : 4, Time : 0.000016, Tardiness : 16148637
ID : 5, Time : 0.000020, Tardiness : 16858691
ID : 6, Time : 0.000022, Tardiness : 16759133
ID : 7, Time : 0.000019, Tardiness : 12545478
ID : 8, Time : 0.000017, Tardiness : 15055861
ID : 9, Time : 0.000015, Tardiness : 13516539
