ID : 0, Time : 0.000035, Tardiness : 13035507
ID : 1, Time : 0.000019, Tardiness : 16279201
ID : 2, Time : 0.000021, Tardiness : 15490428
ID : 3, Time : 0.000017, Tardiness : 14308169
ID : 4, Time : 0.000021, Tardiness : 15778005
ID : 5, Time : 0.000019, Tardiness : 16370168
ID : 6, Time : 0.000022, Tardiness : 14404903
ID : 7, Time : 0.000026, Tardiness : 13940281
ID : 8, Time : 0.000024, Tardiness : 16566741
ID : 9, Time : 0.000020, Tardiness : 15406417
ID : 0, Time : 0.000032, Tardiness : 14334097
ID : 1, Time : 0.000021, Tardiness : 17918293
ID : 2, Time : 0.000024, Tardiness : 13260074
ID : 3, Time : 0.000023, Tardiness : 15644780
ID : 4, Time : 0.000018, Tardiness : 14487204
ID : 5, Time : 0.000023, Tardiness : 11825853
ID : 6, Time : 0.000025, Tardiness : 17852436
ID : 7, Time : 0.000018, Tardiness : 11560451
ID : 8, Time : 0.000022, Tardiness : 16074276
ID : 9, Time : 0.000019, Tardiness : 15942157
